age,job,marital,education,default,housing,loan,contact,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date,latitude,longitude,ID,income,kidhome,teenhome,dt_customer,numwebvisitsmonth
,housemaid,married,basic_4y,0.0,0.0,0.0,telephone,261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-08-02,41.495,-71.233,089b39d8-e4d0-461b-87d4-814d71e0e079,161770,1,0,2012-04-04,29
57.0,services,married,high_school,,0.0,0.0,telephone,149,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-09-14,34.601,-83.923,e9d37224-cb6f-4942-98d7-46672963d097,85477,1,1,2012-12-30,7
37.0,services,married,high_school,0.0,1.0,0.0,telephone,226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-02-15,34.939,-94.847,3f9f49b5-e410-4948-bf6e-f9244f04918b,147233,1,1,2012-02-02,5
40.0,admin_,married,basic_6y,0.0,0.0,0.0,telephone,151,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2015-11-29,49.041,-70.308,9991fafb-4447-451a-8be2-b0df6098d13e,121393,1,2,2012-12-21,29
56.0,services,married,high_school,0.0,0.0,1.0,telephone,307,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2017-01-29,38.033,-104.463,eca60b76-70b6-4077-80ba-bc52e8ebb0eb,63164,1,2,2012-06-20,20
45.0,services,married,basic_9y,,0.0,0.0,telephone,198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-09-26,24.689,-101.643,d63ede72-0b6d-45b1-8872-385ac6897f65,143854,0,1,2012-01-24,26
59.0,admin_,married,professional_course,0.0,0.0,0.0,telephone,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-01-25,31.456,-94.561,5e3483e5-236d-437d-8351-541f9d09b9dd,76439,1,0,2012-08-15,3
,blue-collar,married,,,0.0,0.0,telephone,217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2017-09-25,46.871,-122.235,87fdc08b-30ae-4dab-803f-561ecdf27ff0,159686,1,1,2012-12-10,21
24.0,technician,single,professional_course,0.0,1.0,0.0,telephone,380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-01-18,44.632,-85.811,87b79988-2be5-419d-88f4-56655852c565,179933,0,0,2012-08-22,18
25.0,services,single,high_school,0.0,1.0,0.0,telephone,50,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-11-02,30.297,-117.382,ea6b7d04-9271-4c0a-a01f-07795d164aba,77504,1,0,2012-02-09,18
41.0,blue-collar,married,,,0.0,0.0,telephone,55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-11-30,43.616,-90.902,8d700df5-0c33-4517-8cf8-92e1c92c9c12,92882,1,1,2012-01-05,9
25.0,services,single,high_school,0.0,1.0,0.0,telephone,222,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2016-04-17,49.118,-85.121,ca5c0d7a-8bbd-42b3-8351-1074c5be011a,84813,0,1,2012-06-06,30
29.0,blue-collar,single,high_school,0.0,0.0,1.0,telephone,137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-06-14,30.047,-112.472,66a752e2-b2f1-440c-9a8f-cc3b10d74dd0,102006,0,1,2012-03-24,18
57.0,housemaid,divorced,basic_4y,0.0,1.0,0.0,telephone,293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2015-08-25,28.873,-70.852,54b1ea8a-a909-45d9-9562-775b64ac9c29,140801,2,1,2012-02-11,32
35.0,blue-collar,married,basic_6y,0.0,1.0,0.0,telephone,146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-09-19,36.188,-109.835,3a7b7570-aba9-40bc-9f80-3433d064b5b7,73262,2,2,2012-09-10,27
54.0,retired,married,basic_9y,,1.0,1.0,telephone,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2016-01-03,41.311,-75.496,c93f0774-c122-421b-ac44-2041dcc43609,117422,1,2,2012-04-05,15
35.0,blue-collar,married,basic_6y,0.0,1.0,0.0,telephone,312,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2018-02-28,39.867,-91.016,8f63b4b2-6190-4fbe-a041-b0c472c596c7,70235,1,1,2012-03-11,27
,blue-collar,married,basic_6y,,1.0,1.0,telephone,440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2019-03-29,31.284,-76.228,714f78d0-c23e-40ff-b892-bfeacc4223f8,106688,1,1,2012-01-22,5
50.0,blue-collar,married,basic_9y,0.0,1.0,1.0,telephone,353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2018-10-25,39.231,-100.643,4b568fd1-8690-48a4-a1e5-7497bb533047,99745,2,2,2012-12-11,20
39.0,management,single,basic_9y,,0.0,0.0,telephone,195,1,999,0,nonexistent,1.1,93.994,-36.4,,5191.0,no,2017-07-01,27.284,-69.955,74bf1569-4bdb-49e4-98ba-c1c607d90596,173275,2,0,2012-04-17,26
